cpd24339	C18H24NO4	Cocaethylene
cpd14520	C28H48O	Campest-4-en-3beta-ol
cpd03488	C94H155N9O25P2	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutaminyl-L-lysyl-D-alanyl-D-alanine
cpd03489	C104H170N14O30P2	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L- alanyl-D-glutaminyl-L-lysyl-(glycyl)5-D-alanyl-D-alanine
cpd03480	C8H7O3	2-Hydroxyphenylacetate
cpd03481	C8H10O	2-phenylethanol
cpd03482	C6H4O5	4-Carboxy-2-oxo-4-pentanoate
cpd03483	C15H20O7	p-Coumaryl alcohol 4-O-glucoside
cpd03484	C12H15N4OS	Thiamine aldehyde
cpd03485	C11H18NO8	N-Acetyl-D-muramoate
cpd03486	C86H140N7O21P2	N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine-diphosphoundecaprenol
cpd03487	C94H153N8O26P2	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine
cpd25152	C49H84O15	1-(9Z,12Z,15Z-octadecatrienoyl)-2-(7Z-hexadecenoyl)-3-O-[alpha-D-galactosyl-(1->6)-O-beta-D-galactosyl]-sn-glycerol
cpd25153	C49H84O15	1-(9Z,12Z-octadecadienoyl)-2-(7Z,10Z-hexadecadienoyl)-3-O-[alpha-D-galactosyl-(1->6)-O-beta-D-galactosyl]-sn-glycerol
cpd25156	C49H80O15	1-(9Z,12Z,15Z-octadecatrienoyl)-2-(7Z,10Z,13Z-hexadecatrienoyl)-3-O-[alpha-D-galactosyl-(1->6)-O-beta-D-galactosyl]-sn-glycerol
cpd25157	C51H94O15	1-18:0-2-18:1-digalactosyldiacylglycerol
cpd15218	C20H24N10O20P4	P1-(5'-adenosyl),P4-(5'-guanosyl) tetraphosphate
cpd25155	C49H82O15	1-(9Z,12Z-octadecadienoyl)-2-(7Z,10Z,13Z-hexadecatrienoyl)-3-O-[alpha-D-galactosyl-(1->6)-O-beta-D-galactosyl]-sn-glycerol
cpd15217	C9H21N2OS2	S-aminomethyldihydrolipoamide
cpd25158	C51H92O15	1-18:0-2-18:2-digalactosyldiacylglycerol
cpd25159	C51H92O15	1,2(9Z-octadecenoyl)-3-O-[alpha-D-galactosyl-(1->6)-O-beta-D-galactosyl]-sn-glycerol
cpd15212	C29H45O3	intermediate-methylzymosterol-I
cpd15213	C28H44O	intermediate-methylzymosterol-II
cpd15210	C29H48O	4,4-dimethylzymosterol
cpd04065	C8H8NO5	Clavulanate
cpd15900	C7H8O5	2-oxoheptanedioic acid
cpd04063	C8H10N2O4	Clavaminate
cpd04062	C8H12N2O4	Dihydroclavaminate
cpd04061	C8H14N2O4	Proclavaminate
cpd04060	C9H16N4O4	Amidinoproclavaminate
cpd15481	C6H9NO2R2S2	glutaredoxin (reduced)
cpd25918	C65H94O2	DMK-11
cpd25919	C70H102O2	DMK-12
cpd24399	C10H15N2O	2'-hydroxynicotine
cpd24398	C10H13N2	(S)-1-(methylene-11C)-2-(3-pyridinyl)pyrrolidinium
cpd23873	C36H56O28	neoagarohexaose
cpd23872	C18H28O14	neoagarotriose
cpd23871	C24H38O19	neoagarotetraose
cpd23870	C12H20O10	3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-D-galactose
cpd23876	C30H48O24	agaropentaose
cpd23875	C36H56O28	agarohexaose
cpd24394	C5H9NO3	2-amino-4-ketopentanoate
cpd22547	C22H27N7O6	N-acetyl-N6,O-didemethylpuromycin
cpd23019	C35H58O6	3-O-beta-D-glucopyranosylstigmasterol
cpd15904	C5H10NO5S2	sulfoethylcysteine
cpd03690	C10H14N2	Anabasine
cpd00610	C5H10N2O3	D-Glutamine
cpd00611	C4H9NO3	D-Threonine
cpd00612	C9H9NO4	Dopaquinone
cpd00613	C16H34O	Hexadecanol
cpd03693	C13H24N2O	Anapheline
cpd00616	C10H12NO5	Pretyrosine
cpd00617	C24H37N7O18P3S	Lactoyl-CoA
cpd00618	C10H8	Naphthalene
cpd00619	C3O5	Oxomalonate
cpd03692	C8H15NO	Pelletierine
cpd06751	C12H20O2	Geranyl acetate
cpd23308	C135H214N16O49P2	[N-acetylglucosamine-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine]2 diphospho-undecaprenyl
cpd09224	C17H26N2O15P2	dTDP-5-dimethyl-L-lyxose
cpd09222	C27H19N3O10	Coumermic acid
cpd09223	C43H47N3O18	Coumermycin D
cpd09220	C7H5NO4	3-Methylpyrrole-2,4-dicarboxylic acid
cpd09221	C17H12N2O7	Coumeroic acid
cpd09739	C17H22N3O18P2	UDP-N-acetyl-D-galactosaminuronic acid
cpd11829	C8H13NO8PR2	Phosphatidyl-N-methylethanolamine
cpd11825	C29H53N2O8PRS	Octadecenoyl-ACP
cpd11827	C14H21O8PR3	Phospholipid olefinic fatty acid
cpd11820	C10H10N2O6PR2	Protein tyrosine phosphate
cpd11822	C11H16O13PR2	1-Phosphatidyl-myo-inositol
cpd01257	C6H12O6	L-Galactose
cpd01256	C18H40N4O11	Kanamycin C
cpd01255	C18H40N4O11	Kanamycin A
cpd01254	C21H19O11	Isoorientin
cpd01252	H2N2O2	Hyponitrite
cpd01251	C8H16N2O4S2	Homocystine
cpd01250	C17H36	Heptadecane
cpd01259	C15H11NO4I4	T4
cpd01258	C5H11NO2	L-Norvaline
cpd17172	C4H10O4	D-Threitol
cpd09203	C10H17NO2	Acetyltropine
cpd23419	C18H24NO11S2	4-benzoyloxybutylglucosinolate
cpd01120	C26H32O10	Limonoate
cpd23417	C11H17N2O4S	5-S-cysteinyl dopamine
cpd23416	C21H28NO14S2	3-sinapoyloxypropylglucosinolate
cpd25719	C16H18O3	desoxyhemigossypol-6-methyl ether
cpd25714	C8H10O2	3-methoxy 5 hydroxytoluene
cpd25716	C15H24O	8-hydroxy-(+)-delta-cadinene
cpd25717	C15H16O3	desoxyhemigossypol
cpd25710	C36H58O8	23-Glc-soyasapogenol E
cpd25711	C7H8O3	3,5-Dihydroxyanisole
cpd25712	C8H10O3	1-Hydroxy-3,5-dimethoxybenzene
cpd25713	C9H12O3	1,3,5-trimethoxybenzene
cpd25167	C45H82O10	1,2-(9Z-octadecenoyl)-3-O-beta-D-galactosyl-sn-glycerol
cpd26651	C10H8N2S	indol-3-ylmethylisothiocyanate
cpd25166	C45H82O10	1-18:0-2-18:2-monogalactosyldiacylglycerol
cpd25165	C45H84O10	1-18:0-2-18:1-monogalactosyldiacylglycerol
cpd26160	C9H19N2O3	N-alpha-acetyl lysine methyl ester
cpd26161	C9H12O2	cumene hydroperoxide
cpd25162	C51H88O15	1-(9Z-octadecenoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-3-O-[alpha-D-galactosyl-(1->6)-O-beta-D-galactosyl]-sn-glycerol
cpd25161	C51H90O15	1-(9Z-octadecenoyl)-2-(9Z,12Z-octadecadienoyl)-3-O-[alpha-D-galactosyl-(1->6)-O-beta-D-galactosyl]-sn-glycerol
cpd25160	C51H90O15	1-18:0-2-18:3-digalactosyldiacylglycerol
cpd27407	C10H16	Limonenes
cpd00308	C3H2O4	Malonate
cpd19006	C6H11O9P	alpha-D-Glucose 6-phosphate
cpd02726	C14H12O2	(+)-cis-3,4-Dihydrophenanthrene-3,4-diol
cpd00309	C5H4N4O2	XAN
cpd22934	C14H8I3O4	3,3',5-triiodothyroacetate
cpd22937	C15H10I4NO7S	L-tyrosine, O-(3,5-diiodo-4-(sulfooxy)phenyl)-3,5-diiodo-
cpd19004	C5H6O5R2	1,2-Diacyl-sn-glycerol
cpd22931	C21H18I4NO10	L-thyroxine acyl beta-D-glucuronide
cpd22930	C21H19I3NO10	3,5,3'-triiodo-L-thyronine phenolic beta-D-glucuronide
cpd22933	C14H7I4O4	TA4
cpd22932	C21H19I3NO10	3,5,3'-triiodo-L-thyronine acyl beta-D-glucuronide
cpd19003	C7H15NO3	Carnitine
cpd22939	C20H14I4O10	tetraiodothyroacetate ether glucuronide
cpd22938	C15H11I3NO7S	(2S)-2-amino-3-{3,5-diiodo-4-[3-iodo-4-(sulfooxy)phenoxy]phenyl}propanoic acid
cpd02502	C9H7O5	3-(3,4-Dihydroxyphenyl)pyruvate
cpd02503	C25H39N7O18P3S	3-Hydroxyisobutyryl-CoA
cpd02500	C8H8O3	Protocatechuatealdehyde
cpd02501	C9H9O4	2,3-Dihydroxyphenylpropanoate
cpd02506	C4H6N4O	5-Amino-4-imidazolecarboxyamide
cpd02507	C8H5O7	5-Carboxy-2-oxohept-3-enedioate
cpd02056	C6H6O6	2-Hydroxy-3-oxoadipate
cpd02505	C9H8N2O2	4-Hydroxyaminoquinoline N-oxide
cpd02058	C4H9NO	Isobutyraldehyde oxime
cpd02059	C15H26O	2-cis,6-trans-Farnesol
cpd02508	C6H7O6	5-Dehydro-4-deoxy-D-glucuronate
cpd19000	CHO2R	Fatty acid
cpd27757	R	Oxidized-ferredoxins
cpd12036	C16H26N9O4R	L-Arginyl-tRNA
cpd12033	COR2	Dialkyl ketone
cpd02724	C11H12NO8	N-Succinyl-L-2-amino-6-oxopimelate
cpd12031	CHO5PR	Acyl phosphate
cpd12030	C15H23O16P3R3	5'-Phospho-DNA
cpd17814	C23H45N5O14	Neomycin F
cpd24009	C5H15NSe	DMSeP-amine
cpd24003	C45H64N7O18P3S	3-oxochol-4,22-dien-24-oyl-CoA
cpd24002	C45H66N7O18P3S	3-oxochol-4-en-24-oyl-CoA
cpd24001	C48H70N7O19P3S	3,24-dioxocholest-4-en-26-oyl-CoA
cpd24000	C48H72N7O19P3S	24-hydroxy-3-oxocholest-4-en-26-oyl-CoA
cpd24007	C19H26O3	9alpha-hydroxy-4-androstene-3,17-dione
cpd24006	C43H62N7O18P3S	3-one-23,24-bisnorchol-4-en-22-yl-CoA
cpd24005	C45H64N7O19P3S	3,22-dioxochol-4-en-24-oyl-CoA
cpd24004	C45H66N7O19P3S	22-hydroxy-3-oxochol-4-en-24-oyl-CoA
cpd24146	C8H16NO4S	N, N-dihydroxytrihomomethionine
cpd24147	C9H18NO3S	N-hydroxy-tetrahomomethionine
cpd24144	C7H14NO4S	N,N-dihydroxydihomomethionine
cpd24145	C8H16NO3S	N-hydroxytrihomomethionine
cpd24142	C6H12NO4S	N,N-dihydroxyhomomethionine
cpd24143	C7H14NO3S	N-hydroxydihomomethionine
cpd24140	C15H12O5	(2R)-4',5,7-trihydroxyflavan-4-one
cpd24141	C6H12NO3S	N-hydroxyhomomethionine
cpd05043	C27H30O15	Saponarin
cpd24148	C9H18NO4S	N, N-dihydroxy-tetrahomomethionine
cpd24149	C9H15N5O3	(6S)-5,6,7,8-tetrahydrobiopterin
cpd15029	C36H34O20	Delphinidin 3-glucoside 5-caffoyl-glucoside
cpd15028	C27H28O17	Delphin
cpd03671	C6H13NO8P	D-Glucosamine1-phosphate
cpd03670	C6H12O9P	L-myo-Inositol 5-phosphate
cpd03677	C20H14NO4	Sanguinarine
cpd03676	C17H19NO3	(S)-Coclaurine
cpd03675	C16H17NO3	(S)-Norcoclaurine
cpd03674	C6H9O5	2-Dehydro-3-deoxy-D-fuconate
cpd15021	C27H29O15	Pelargonidin 3-O-sophoroside
cpd15020	C30H30O20	Delphinidin 3-O-(6''-O-malonyl)-beta-glucoside-3'-O-beta-glucoside
cpd03679	C22H18NO6	Macarpine
cpd03678	C20H20NO4	(S)-cis-N-methylstylopine
cpd15025	C12H19O3	Traumatin
cpd15027	C12H19O3	12-Oxo-9(Z)-dodecenoic acid
cpd15026	C6H10O	3-Hexenal
cpd28807	C15H20O3	2,2,6,9-tetramethyl-3,6-dihydro-2H-1-benzoxocine-3,8-diol
cpd14889	C45H67N7O17P3S	(6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenoyl-CoA
cpd28801	C12H8O5	8-hydroxybergapten
cpd14880	C6H6O5	2-Formylglutarate
cpd14883	C39H61N7O17P3S	alpha-Linolenoyl-CoA
cpd14886	C41H61N7O17P3S	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA
cpd14887	C43H65N7O17P3S	(7Z,10Z,13Z,16Z,19Z)-Docosapentaenoyl-CoA
cpd19028	C5H9O8P	alpha-D-Ribose 5-phosphate
cpd19024	C3H8O2	(S)-Propane-1,2-diol
cpd19026	C6H9O3	3-Methyl-2-oxopentanoate
cpd19020	C4H5N4O3	(S)(+)-Allantoin
cpd19023	C10H14O	(-)-Isopiperitenone
cpd19022	C6H5O2	p-Benzosemiquinone
cpd03017	C26H30NO2	Hydroxytamoxifen
cpd03011	C20H34NO16R	6-(2-[N-Acetyl-beta-D-glucosaminyl]-alpha-D-mannosyl)-beta-D- mannosyl-R
cpd03010	C28H47N2O21R	3-(2,4-Bis[N-acetyl-beta-D-glucosaminyl]-alpha-D-mannosyl)-beta-D- mannosyl-R
cpd03019	C8H15NO6	N-Acetyl-beta-D-galactosamine
cpd00289	C20H34O7P2	Geranylgeranyl diphosphate
cpd00288	C6H13NO8P	D-Glucosamine phosphate
cpd00287	C4H5O3	3-Oxo-2-methylpropanoate
cpd00286	C55H89O4P	Undecaprenylphosphate
cpd00285	C2H7NO4P	Phosphoethanolamine
cpd00284	C6H10O10P	6-Phospho-D-gluconate
cpd00283	C10H18O7P2	Geranyldiphosphate
cpd00282	C5H5N2O4	S-Dihydroorotate
cpd00281	C4H9NO2	GABA
cpd00280	C6H9O7	D-Galacturonate
cpd19517	C16H8O2	Pyrene-4,5-dione
cpd12374	C2H3O2R	Monoterpenol acetate ester
cpd19516	C16H10O2	4,5-Dihydroxypyrene
cpd15415	C23H41N2O8PRS	cis-dodec-5-enoyl-[acyl-carrier protein]
cpd22737	C7H6ClO4	3-chloro-3,5-cyclohexadiene-l,2-diol-1-carboxylate
cpd22735	C6H6Cl2O2	1,3-dichlorobenzene dihydrodiol
cpd22734	C9H12O2	4-ethylguaiacol
cpd22733	C30H38N7O19P3S	4-hydroxybenzoyl-acetyl-CoA
cpd22732	C9H7O4	4-hydroxybenzoyl-acetate
cpd22731	C8H10O2	S-1-(4-hydroxyphenyl)-ethanol
cpd15417	C36H63N3O15P2	CDP-1,2-didodecanoylglycerol
cpd26424	C9H15N5O4	H4-MPt
cpd01889	C6H10NO3	4-Acetamidobutanoate
cpd01738	C16H14O5	Dihydrobiochanin A
cpd15412	C28H47N8O17P3S	gamma-butyrobetainyl-CoA
cpd01882	C26H40N7O17P3S	Isovaleryl-CoA
cpd01735	C6H8O6	Glucurone
cpd01880	C10H10N2O	3-Indoleacetaldoxime
cpd01881	C10H8N2	3-Indoleacetonitrile
cpd01886	C30H43O4	3-Oxoglycyrrhetinate
cpd01887	C33H53N7O17P3S	(3Z)-Dodecenoyl-CoA
cpd01732	CH2ClBr	Bromochloromethane
cpd01733	C10H10O3	Ferulaldehyde
cpd04541	C18H31O4	(9Z,12Z)-(11S)-11-Hydroperoxyoctadeca-9,12-dienoate
cpd04546	C41H71N7O18P3S	2-Hydroxyphytanoyl-CoA
cpd04547	C20H25N2O3	3-Hydroxyquinine
cpd00429	C8H12NO3	Arterenol
cpd00428	C3H4O2	2-Oxopropanal
cpd00423	C62H91CoN13O14P	Vitamin B12r
cpd00422	C30H38N7O17P3S	Cinnamoyl-CoA
cpd00421	H2O10P3	Triphosphate
cpd00420	C19H28O2	Testosterone
cpd00427	C5H9O6	L-Arabinonate
cpd00426	C8H7O4	Homogentisate
cpd00425	C2H8N	(CH3)2NH
cpd00424	C7H14N2O4S	Cystathionine
cpd08639	C12H19NO4	OOHL
cpd08636	C5H8O4	4-5-dihydroxy-2-3-pentanedione
cpd08637	C10H15NO4	N-(3-Oxohexanoyl)homoserine lactone
cpd08635	C8H13NO3	N-Butyryl-L-homoserine lactone
cpd08632	C35H30MgN4O5	Divinyl chlorophyllide a
cpd08630	C35H31N4O5Mg	13(1)-Oxo-Mg-protoporphyrin IX 13-monomethyl ester
cpd08631	C35H28N4O5Mg	Divinylprotochlorophyllide
cpd10509	C20H31O4	12(R)-HPETE
cpd10508	C20H33O5	Trioxilin B3
cpd01080	C18H35O2	ocdca
cpd01087	C7H8O	o-Cresol
cpd01084	C3H7NO2	Urethane
cpd01085	C25H46N13O10	Viomycin
cpd10501	C20H23N4O9S	1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene
cpd10500	C20H23N4O9S	1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene
cpd10503	C20H23N4O9S	1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene
cpd10502	C20H23N4O9S	1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene
cpd10507	C20H31O4	Hepoxilin B3
cpd16909	C33H63N2O8PRS	docosanoyl-ACP
cpd16907	C64H121N2O8PRS	alpha-meroacyl-3-ACP-2-cyclopropane-rings
cpd16905	C65H123N2O8PRS	alpha-meroacyl-1-ACP-2-cyclopropane-rings
cpd16904	C90H172O14P2	alpha-meroacyl-3-mycolate-ppm
cpd16903	C79H153O3	alpha-meroacyl-3-mycolate
cpd16902	C92H176O16P	alpha1-trehalose-monomyclolate-phosphate
cpd16901	C92H176O13	alpha1-trehalose-monomyclolate
cpd16900	C91H174O14P2	alpha-meroacyl-1-mycolate-ppm
cpd15891	C36H47N7O19P	methenyl-tetrahydrosarcinapterin
cpd23604	C16H21NO	2-heptyl-4(1H)-quinolone
cpd23600	C42H82O10P	phosphatidylglycerol (dioctadecanoyl, n-C18:0)
cpd23603	C13H17NO7	1-O-beta-D-Glucopyranosyl anthranilate
cpd23608	C40H48NO12	N-debenzoyl-(3'-RS)-2'-deoxytaxol
cpd12058	C15H24O17P3R2	Depurinated DNA
cpd22745	C6H3Cl3O2	3,4,5-trichlorocatechol
cpd19568	C7H6Cl2O2	4,6-Dichloro-3-methylcatechol
cpd07364	C11H14O2	Isomethyleugenol
cpd25579	C7H9NO	4-hydroxylaminotoluene
cpd19561	C19H13NO6	Pretetramid
cpd19562	C22H22N2O9	5a,11a-Dehydrooxytetracycline
cpd19563	C22H21ClN2O7	Anhydrochlortetracycline
cpd19564	C22H21ClN2O8	5a,11a-Dehydrochlortetracycline
cpd19565	C20H17ClN2O7	4-Aminoanhydrochlortetracycline
cpd19566	C7H6Cl2	2,4-Dichlorotoluene
cpd19567	C7H8Cl2O2	4,6-Dichloro-3-methyl-cis-1,2-dihydroxycyclohexa-3,5-diene
cpd12622	C27H39N5O29P5R3	m7G(5')pppRm-RNA (mRNA containing a 2'-O-methylpurine cap)
cpd15903	C12H14N2O5	N1-(alpha-D-ribosyl)-5-hydroxybenzimidazole
cpd12620	C41H61N3O34R2	D-Glucuronyl-N-acetyl-1,3-beta-D-galactosaminylproteoglycan
cpd12621	C17H27N5O4R2S	Holo-[methylcrotonoyl-CoA-carboxylase]
cpd15906	C3H4O6S	L-sulfolactate
cpd15907	C3H3O9PS	L-sulfolactyl phosphate
cpd12624	C79H130O24P2	D-Abequosyl-D-mannosyl-rhamnosyl-D-galactose-1-diphospholipid
cpd15905	C42H47N6NiO14	15,17-seco-F430-17-acid
cpd12628	C19H33N3O13R2	Protein alpha-D-glucosyl-1,2-beta-D-galactosyl-L-hydroxylysine
cpd12629	C21H34N2O17R2	3-beta-D-Galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein
cpd22987	C35H50N7O19P3S	OPC4-3-ketoacyl-CoA
cpd16011	C41H80O13P2	Phosphatidylglycerophosphate (hexadecanoyl, tuberculostearoyl, C16:0, C19:0)
cpd16010	C44H86O10P	Phosphatidylglycerol (dimethylstearoyl, C19:0)
cpd16013	C23H37O3	phenol palmitic acid
cpd16012	C44H86O13P2	Phosphatidylglycerophosphate (dituberculostearoyl, C19:0)
cpd16015	C44H69N7O18P3S	phenol palmitic coenzyme A
cpd16014	C34H57N2O9PRS	phenol palmitic acid ACP
cpd16017	C11H10O3	phthiocol (reduced)
cpd16016	C11H7O3	phthiocol (oxidized)
cpd16019	C32H66O3	phthiocerol A
cpd16018	C31H62O3	phthiodolone
cpd03242	C45H71N7O19P3S	Chenodeoxyglycocholoyl-CoA
cpd03243	C26H42NO5	Chenodeoxyglycocholate
cpd03241	C48H75N7O20P3S	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA
cpd03246	C26H44NO6S	Taurochenodeoxycholate
cpd03247	C26H42NO5	Glycochenodeoxycholate
cpd03244	C26H44NO6S	Taurodeoxycholate
cpd03245	C26H42NO5	Glycodeoxycholate
cpd03248	C48H75N7O21P3S	3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA
cpd12486	C21H30N5O20P3R2	tRNA containing N7-methylguanine
cpd12484	C21H29N5O20P3R2	tRNA containing N2-methylguanine
cpd22899	C12H11N2O3	IAA-Gly
cpd25523	C9H11N3O9P	5-carboxyamino-1-(5-phospho-D-ribosyl)imidazole
cpd12483	C21H29N5O20P3R2	tRNA containing N1-methylguanine
cpd22893	C7H6ClO4	1-carboxy-3-chloro-4,5-dihydroxycyclohexa-2,6-diene
cpd22896	C7H3ClO6	6-chloro-2-hydroxy-4-carboxymuconate-6-semialdehyde
cpd25529	C5H6N4O2	6,8-dihydroxypurine
cpd22895	C7H4ClO4	5-chloro-3,4-dihydroxybenzoate
cpd20942	C6H11NO4	D-Alanyl-(R)-lactate
cpd14505	C5H9O6PR	1-(1-Alkenyl)-sn-glycero-3-phosphate
cpd14504	C5H9O3R	1-(1-Alkenyl)-sn-glycerol
cpd02269	C6H12O9P	D-Hamamelose 2(1)-phosphate
cpd14506	C6H8O7PR2	2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphate
cpd02263	C41H65N7O17P3S	8,11,14-Icosatrienoyl-CoA
cpd02262	C27H46O2	7alpha-Hydroxycholesterol
cpd02260	C7H7O2Cl	5-Chloro-3-methylcatechol
cpd02267	C13H14N2O6Cl2	Chloramphenicol 3-acetate
cpd14508	C35H54N3O28R2	alpha-N-Acetyl-D-glucosaminyl-(1->4)-beta-D-glucuronosyl-(1->3)- beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D- xylosylproteoglycan
cpd02265	C15H23N3O14P2	CDPtyvelose
cpd02264	C15H23N3O14P2	CDPparatose
cpd03427	C33H36N4O6	(3Z)-Phycocyanobilin
cpd15274	C39H65N7O17P3S	Octadecenoyl-CoA
cpd15277	C27H51N2O8PRS	Palmitoyl-ACP
cpd15270	C18H31O2	octadecynoate
cpd15272	C39H63N7O17P3S	Octadecynoyl-CoA
cpd20948	C26H19Cl2N3O7	4'-O-Demethylrebeccamycin
cpd04045	C13H10Cl2	DDM
cpd04044	C14H9O2Cl2	DDA
cpd04731	CCl4	Tetrachloromethane
cpd04046	C14H10Cl2	DDNU
cpd04041	C14H9Cl3	DDMU
cpd04040	C14H10Cl4	DDD
cpd04043	C14H12OCl2	DDOH
cpd04042	C14H11Cl3	DDMS
cpd21352	C11H15N5O6SR4(C2H2NOR)n	Protein-cysteine
cpd21353	C26H39N5O6SR4(C2H2NOR)n	S-Farnesyl protein
cpd04049	C14H7O4Cl4	6-Oxo-2-hydroxy-7-(4'-chlorophenyl)-3,8,8-trichloroocta-2E,4E,7E- trienoate
cpd04048	C14H8O2Cl4	1,1-Dichloro-2-(dihydroxy-4'-chlorophenyl)-2-(4'- chlorophenyl)ethylene
cpd15095	C45H67N7O18P3S	(6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosapenta-6,9,12,15,18-enoyl-CoA
cpd23851	C51H86O43	XLLG xyloglucan oligosaccharide
cpd24802	C36H57O9	soyasapogenol B-3-O-beta-glucuronide
cpd23853	C17H28N3O12P2	TDP-N-monodesmethyl-D-forosamine
cpd23855	C6H11N3O4	gly-asn
cpd23854	C8H16N2O3S	met-ala
cpd23857	C7H14N2O4	ala-thr
cpd23856	C15H24	(-)-exo-alpha-bergamotene
cpd24809	C6H8O9P	methanofuran biosynththesis intermediate MF2
cpd24808	C6H9O13P2	methanofuran biosynththesis intermediate MF1
cpd24224	C19H38	1-nonadecene
cpd00636	C6H12O	Hexalin
cpd00637	C5H11NO2S	D-Methionine
cpd00634	C16H17O9	Chlorogenate
cpd00635	C62H91CoN13O14P	Cbl
cpd00632	C10H16O2	6-Oxocineole
cpd00633	C4H8O2	Ethyl acetate
cpd00630	C6H6O5	3-Oxoadipate
cpd00631	C8H8NO4	4-Pyridoxate
cpd11594	C36H62O31	Dextrin
cpd11596	C4H9O3S	butanesulfonate
cpd11591	C7H14N2O3S	Gly-Met
cpd11590	C8H15N2O3S	met-L-ala-L
cpd00638	C21H24N6O15P2	Deamido-NAD
cpd00639	C16H12O4	Formononetin
cpd23406	C15H29N3O4S2	9-methylthiononylhydroximoyl-cysteinylglycine
cpd15928	C684H1104O552	arabinan complex (Mtb)
cpd25833	C10H18NO4	4-(1-methyl-5-hydroxy-2-pyrrolidinyl)-3-oxobutanoate methyl ester
cpd04950	C7H15N2O2PCl2	Cyclophosphamide anhydrous
cpd25577	C7H6NO6	2-hydroxy-5-nitro-6-oxohepta-2,4-dienoate
cpd15826	C12H13N2O8P	N1-(5-Phospho-alpha-D-ribosyl)-5-hydroxybenzimidazole
cpd25834	C10H16NO3	2-carbomethoxy-3-tropinone
cpd03822	C28H36N7O17P3SCl	4-Chlorobenzoyl-CoA
cpd25836	C9H15NO3	4-(1-methyl-2-pyrrolidinyl)-3-oxobutanoate
cpd25839	C21H26NO5	(S)-isoandrocymbine
cpd15811	C52H85N3O14P2	CDP-2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glycerol
cpd03535	C6H14N4O5P	Phosphoarginine
cpd09848	C6H8N4O2	N-Cyclopropylammelide
cpd09849	C3H8N	Cyclopropylamine
cpd03538	C20H29O4	12-Keto-LTB4
cpd03287	C7H5O7	Oxaloglutarate
cpd03284	C3H2O5S	3-Sulfinopyruvate
cpd22077	C29H52N2O9PRS	3-oxo-cis-vaccenoyl-ACPs
cpd03285	C3H2O6S	3-Sulfopyruvate
cpd03282	C4H9NO3	L-Allothreonine
cpd03283	C6H8NO5	2-Amino-3-oxoadipate
cpd15813	C46H79NO9P	2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glyceroserine
cpd23479	C17H23N3O12	alpha-ketoglutaryl-diaminobutyryl-citryl-ethanolamine
cpd23478	C12H21N3O8	diaminobutyryl-citryl-ethanolamine
cpd23477	C8H12NO7	O-citryl-ethanolamine
cpd23476	C9H11NO9	O-citryl-L-serine
cpd25860	C10H8NO5	3-methyl-5-hydroxy-6-(3-carboxy-3-oxopropenyl)-1H-2-pyridon
cpd25732	C30H20O8	emodin dianthrone
cpd20921	C25H36N7O19P3S	Malonyl-CoA methyl ester
cpd20922	C5H11O8P	D-Arabinitol 1-phosphate
cpd20923	C3H7O5S	(R)-2,3-Dihydroxypropane-1-sulfonate
cpd20924	C15H24O	Germacra-1(10),4,11(13)-trien-12-ol
cpd20925	C15H22O	Germacra-1(10),4,11(13)-trien-12-al
cpd20926	C15H21O2	Germacrene A acid
cpd20927	C6H10O6	L-Sorbosone
cpd20928	C8H10N2O	N,N-Dimethyl-4-nitrosoaniline
cpd20929	C8H12N2O	4-(Hydroxylamino)-N,N-dimethylaniline
cpd25738	C15H17N2O3	IAA-Val
cpd25739	C19H17N2O3	IAA-Phe
cpd27590	C3H5N2O3	N-carbamoyl glycine
cpd13054	C2H6O2As	Cacodylate
cpd01279	C2H3OS	Thioacetate
cpd01278	C14H17NO7	Taxiphyllin
cpd01275	C17H24O10	Secologanin
cpd01274	C17H21NO4	Scopolamine
cpd06557	C15H26O	alpha-Eudesmol
cpd01276	C8H4O5	Stipitatate
